ListSize,ShellSort(us),MergeSort(us),IterativeMergeSort(us),QuickSort(us),
10,2,
20,3,
30,3,
40,4,
50,5,
60,6,
70,8,
80,8,
90,10,
100,11,
200,24,
300,40,
400,52,
500,73,
600,88,
700,102,
800,118,
900,138,
1000,123,
2000,292,
3000,581,
4000,793,
5000,1052,
6000,1231,
7000,1434,
8000,1566,
9000,2128,
10000,2081,
20000,4083,
30000,6630,
40000,8471,
50000,11375,
60000,13598,
70000,17355,
80000,20772,
90000,21832,
100000,25224,
200000,52713,
300000,78119,
400000,109732,
500000,143545,
600000,186675,
700000,200859,
800000,233819,
900000,275696,
1000000,305149,
2000000,621655,
3000000,984482,
4000000,1306362,
5000000,1716065,
6000000,2041451,
7000000,
8000000,
9000000,
10000000,
